manhanvien,ho,ten,ngaysinh,gioitinh,diachi,sodienthoai,luong,chucvu
561,Biện,Ánh,12/01/1997,Nam,Cần Thơ,095088157,9000,Nhân sự thử việc
562,Hồn,Nguyễn Đức,11/05/1988,Nữ,Quảng Bình,091859948,15000,Nhân viên
563,Hoàng,Dương,03/05/1987,Khác,Bình Thuận,099435584,15000,Nhân viên
564,Đoàn,Minh Tuấn,08/22/1997,Nam,Hồ Chí Minh (TP. HCM),094352750,10000,Công nhân
565,Tôn,Hoàng,11/14/1991,Nam,Thanh Hóa,093121742,8000,Thực tập sinh
566,Ông,Hoàng Nam,09/03/2003,Khác,Bắc Giang,096030027,9000,Người làm bán thời gian
567,Cù,Kim,05/09/2000,Khác,Sóc Trăng,099473229,9000,Nhân sự thử việc
568,Khổng,Văn Đức,12/01/1988,Nam,Đắk Nông,094447639,60000,Cán bộ quản lý
569,Vương,Thùy,09/26/1999,Nam,Cần Thơ,094296270,9000,Người làm bán thời gian
570,Đi,Quang Huy,08/08/1989,Nữ,Quảng Nam,095690628,8000,Thực tập sinh
571,Bành,Hồng,12/18/1995,Nữ,Hải Phòng,092099914,50000,Chuyên gia nước ngoài
572,Thất,Dương Hùng,02/23/1992,Nam,Phú Yên,099624594,15000,Nhân viên
573,Sơn,Quang,09/02/2002,Nữ,Tuyên Quang,091883876,60000,Cán bộ quản lý
574,Tô,Văn,01/26/2002,Nam,Hải Phòng,094700934,9000,Người làm bán thời gian
575,Giang,Nguyễn Kim,11/28/1992,Nam,Hồ Chí Minh (TP. HCM),093653071,50000,Chuyên gia nước ngoài
576,Tô,Tuấn Anh,02/02/1991,Khác,Cần Thơ,093653071,60000,Cán bộ quản lý
577,Mạch,Trần Hùng,12/09/1994,Nữ,Lai Châu,092753230,40000,Kỹ sư
578,Thi,Tuấn Anh,02/18/1994,Nam,Quảng Ngãi,095648809,10000,Lao động phổ thông
579,Đường,Văn Đức,08/25/2003,Khác,Tiền Giang,091430476,40000,Kỹ sư
580,Tăng,Nguyễn Kim,09/19/2000,Nữ,Cao Bằng,095851228,60000,Cán bộ quản lý
581,Phương,Lê Mai,12/17/1995,Nam,Bắc Ninh,094069863,9000,Nhân sự thử việc
582,Vòng,Hoàng Nam,05/24/2000,Nam,Bình Dương,098174501,40000,Kỹ sư
583,Thất,Trần Anh,07/09/1991,Nữ,Hà Nội,098652089,40000,Kỹ sư
584,Hoàng,Tuấn Anh,01/13/1999,Khác,Cần Thơ,097903322,9000,Người làm bán thời gian
585,Thân,Hùng,09/03/2004,Khác,Sơn La,099766791,60000,Cán bộ quản lý
586,Nguyễn,Kim,12/17/1993,Khác,Cần Thơ,099021238,9000,Người làm bán thời gian
587,Vi,Minh Tuấn,10/22/1993,Khác,Bắc Ninh,096030027,60000,Cán bộ quản lý
588,Đi,Kim,08/28/1985,Nam,Cao Bằng,090032310,40000,Kỹ sư
589,Vi,Nguyễn Hồng,12/03/1989,Nữ,Đà Nẵng,098320554,10000,Lao động phổ thông
590,Phù,Trang,07/26/2000,Nam,Bến Tre,092371523,10000,Công nhân
591,Lâm,Nguyễn Lan,01/11/1990,Nữ,Tuyên Quang,099552767,8000,Thực tập sinh
592,Đi,Nguyễn Lan,06/28/2004,Nữ,Hà Nội,090433329,60000,Cán bộ quản lý
593,Lữ,Nguyễn Đức,09/22/1992,Nam,Bạc Liêu,095867500,50000,Chuyên gia nước ngoài
594,Đồn,Tuấn,07/08/1998,Nam,Quảng Nam,091747067,40000,Kỹ sư
595,Châu,Thanh,07/19/1995,Nam,Hải Dương,099309068,10000,Công nhân
596,Diệp,Nguyễn Phương,05/09/1987,Nam,Ninh Bình,097984419,8000,Thực tập sinh
597,Viên,Nguyễn Hùng,09/23/1995,Nữ,Quảng Ninh,095297345,8000,Thực tập sinh
598,Triệu,Nguyễn Hùng,09/12/2002,Nam,Ninh Thuận,094695464,10000,Công nhân
599,Vi,Nguyễn Kim,07/18/2000,Khác,Phú Thọ,098128139,10000,Lao động phổ thông
600,Bùi,Nguyễn Nam,03/23/1996,Nam,Lạng Sơn,092347375,10000,Công nhân
601,Giang,Minh Khánh,04/06/1993,Nam,Hà Tĩnh,099587613,9000,Nhân sự thử việc
602,Lâm,Quang,10/01/1987,Khác,Hậu Giang,097663964,10000,Lao động phổ thông
603,Lưu,Văn Anh,07/01/1995,Nữ,Lạng Sơn,090646002,8000,Thực tập sinh
604,Quách,Anh,12/20/1994,Nữ,Bắc Kạn,097409564,9000,Nhân sự thử việc
605,Lai,Minh Khánh,12/27/1991,Khác,Thanh Hóa,090045732,15000,Nhân viên
606,Mai,Nguyễn Anh,12/26/1993,Nữ,Cao Bằng,098883063,10000,Công nhân
607,Lý,Nguyễn Mai,07/10/2004,Khác,Hà Giang,096416286,9000,Người làm bán thời gian
608,Lục,Lê Hồng,10/24/1991,Khác,Bạc Liêu,096374099,60000,Cán bộ quản lý
609,Khưu,Dương Hùng,04/07/2004,Nam,Hậu Giang,093121742,50000,Chuyên gia nước ngoài
610,Thi,Lê Hồng,09/19/1986,Nữ,Lào Cai,094970992,50000,Chuyên gia nước ngoài
611,Lại,Lê Hồng,07/14/2002,Nam,Hồ Chí Minh (TP. HCM),097285257,9000,Người làm bán thời gian
612,Bạch,Minh Tuấn,08/12/1990,Khác,Đồng Tháp,095596369,10000,Lao động phổ thông
613,Lý,Lê Nam,02/02/1990,Nam,Lâm Đồng,092347375,40000,Kỹ sư
614,Kim,Nguyễn Hùng,06/01/1991,Khác,Sóc Trăng,099322485,9000,Người làm bán thời gian
615,Nhan,Ánh,01/07/1985,Nam,Tuyên Quang,091106864,8000,Thực tập sinh
616,Tôn,Thanh Hương,06/06/1994,Nữ,Vĩnh Long,091292851,9000,Người làm bán thời gian
617,Hồn,Thanh,01/29/2001,Khác,Đồng Tháp,092278884,9000,Người làm bán thời gian
618,Lã,Văn Anh,09/23/1998,Nam,Bình Dương,092758706,40000,Kỹ sư
619,Tô,Lan,02/07/2001,Nam,Hậu Giang,096582325,60000,Cán bộ quản lý
620,Vương,Lê Thùy,06/28/2000,Khác,Sóc Trăng,094104066,9000,Người làm bán thời gian
621,Thất,Nguyễn Thị,05/08/1987,Nữ,Thừa Thiên Huế,093627949,50000,Chuyên gia nước ngoài
622,Từ,Trần Đức,04/04/1989,Khác,Cần Thơ,095776605,15000,Nhân viên
623,Ôn,,08/16/1995,Nam,Tiền Giang,092347375,40000,Kỹ sư
624,Thi,Nguyễn Đức,08/30/1985,Khác,Hưng Yên,092577089,9000,Nhân sự thử việc
625,Tất,Thanh,03/18/2001,Nam,Bắc Ninh,096576815,15000,Nhân viên
626,Phương,Lê Mai,09/30/2004,Nữ,Đồng Nai,095118055,15000,Nhân viên
627,Đồn,Nguyễn Ánh,11/28/1996,Nữ,Lai Châu,094615121,9000,Người làm bán thời gian
628,Lục,Mai,01/07/2000,Nam,Thừa Thiên Huế,094349893,9000,Người làm bán thời gian
629,Vương,Nguyễn Hồng,01/25/1996,Khác,Sơn La,094690456,50000,Chuyên gia nước ngoài
630,Phù,Nguyễn Hồng,07/19/1995,Nữ,Hải Phòng,094229963,10000,Lao động phổ thông
631,Vũ,Lê Nam,11/03/1985,Nam,Thanh Hóa,095141890,50000,Chuyên gia nước ngoài
632,Thân,Nguyễn Lan,07/16/1993,Khác,Bình Phước,096644157,9000,Nhân sự thử việc
633,Chu,Trần Thị,05/29/1986,Nữ,Hải Dương,093956323,50000,Chuyên gia nước ngoài
634,Viên,Nguyễn Hùng,08/21/1996,Khác,Bình Dương,092220133,40000,Kỹ sư
635,Cù,Hùng,11/05/1996,Nữ,Cần Thơ,092879052,10000,Lao động phổ thông
636,Vi,Minh Khánh,03/12/1988,Khác,Đắk Lắk,094881829,60000,Cán bộ quản lý
637,Lương,Phương,11/14/1988,Khác,Hồ Chí Minh (TP. HCM),092857787,40000,Kỹ sư
638,Trịnh,Thanh Thảo,05/12/1994,Khác,Sóc Trăng,091188879,8000,Thực tập sinh
639,Đoàn,Nguyễn Hùng,11/22/2004,Khác,Lào Cai,097836899,8000,Thực tập sinh
640,Trương,Thị,02/09/2003,Nam,Vĩnh Long,097160129,9000,Nhân sự thử việc
641,Lại,Anh,06/15/1988,Nam,Thái Bình,097444373,10000,Lao động phổ thông
642,Trầm,Nguyễn Phương,07/07/1985,Nữ,Bình Phước,094854798,10000,Công nhân
643,Lâm,Mai,02/19/1988,Nam,Bà Rịa - Vũng Tàu,098813717,10000,Lao động phổ thông
644,Hoàng,Nguyễn Ánh,11/10/1986,Khác,Bến Tre,092364763,10000,Công nhân
645,Nhan,Trần Hùng,11/07/2002,Nữ,Gia Lai,095635090,10000,Công nhân
646,Tôn,Đức,11/19/1997,Nữ,Nghệ An,096239877,9000,Nhân sự thử việc
647,Tăng,Thị,02/03/2002,Khác,Hà Giang,097197493,8000,Thực tập sinh
648,Trịnh,Lê Thùy,10/16/1992,Khác,Bà Rịa - Vũng Tàu,092665957,60000,Cán bộ quản lý
649,Vương,Nguyễn Mai,10/26/1986,Nữ,Vĩnh Phúc,097693004,9000,Nhân sự thử việc
650,Âu,Trần Anh,07/09/2000,Nữ,Tây Ninh,090965513,10000,Công nhân
651,Nguyễn,Trần Trang,02/01/1994,Khác,Cao Bằng,091402380,50000,Chuyên gia nước ngoài
652,Trà,Trần Anh,06/14/1990,Nữ,Bắc Giang,094622529,15000,Nhân viên
653,Tôn,Lê Mai,09/28/2000,Nữ,Thừa Thiên Huế,092531140,9000,Nhân sự thử việc
654,Lại,Dương Hùng,11/18/1997,Nữ,Đắk Lắk,095497511,50000,Chuyên gia nước ngoài
655,Thi,Lê Nam,01/24/1991,Khác,Cần Thơ,094638452,9000,Nhân sự thử việc
656,Giang,Thanh Hương,04/16/2002,Nam,Bình Định,097325151,15000,Nhân viên
657,Bùi,Tuấn Anh,03/28/1990,Nam,Bến Tre,097160129,10000,Lao động phổ thông
658,Phạm,Nguyễn Thị,03/24/1988,Khác,Tuyên Quang,091115231,40000,Kỹ sư
659,Tạ,Minh Khánh,10/24/1994,Nam,Hải Dương,097646921,10000,Công nhân
660,Phạm,Tuấn Anh,12/06/2001,Nữ,Tiền Giang,090507359,60000,Cán bộ quản lý
661,Nghiêm,Hoàng,11/07/1997,Nam,Ninh Bình,091717339,8000,Thực tập sinh
662,Quách,Thanh Thảo,04/03/1992,Khác,Hà Nam,092848464,10000,Lao động phổ thông
663,Thái,Nam,12/16/1989,Nữ,Cần Thơ,099373434,40000,Kỹ sư
664,Cao,Anh,07/20/1991,Nữ,Đồng Tháp,094594051,40000,Kỹ sư
665,Ngô,Hoàng,11/15/1990,Nam,Bắc Kạn,092220133,15000,Nhân viên
666,Ninh,Hùng,06/22/1994,Nam,Cà Mau.,094268802,9000,Nhân sự thử việc
667,Lữ,Trần Đức,05/16/2004,Nữ,Phú Thọ,099619131,60000,Cán bộ quản lý
668,Quan,Lê Nam,12/19/1999,Khác,Tây Ninh,098627445,10000,Lao động phổ thông
669,Bành,Tuấn Anh,07/05/1994,Nam,Đắk Lắk,098273377,9000,Nhân sự thử việc
670,Đậu,Anh,07/20/1994,Nam,Phú Yên,091159646,40000,Kỹ sư
671,Chế,Nguyễn Trang,04/01/1998,Nam,Bạc Liêu,091919235,50000,Chuyên gia nước ngoài
672,Tôn,Nguyễn Mai,06/05/1996,Nữ,Bạc Liêu,092533583,10000,Công nhân
673,Mai,Quang Minh,09/20/1992,Nữ,Ninh Bình,099422676,40000,Kỹ sư
674,Lục,Nguyễn Thùy,03/06/1996,Nữ,Thái Bình,096794486,10000,Lao động phổ thông
675,Lương,Lê Phương,04/19/1995,Nữ,Hà Nam,091631354,40000,Kỹ sư
676,Lương,Nguyễn Hùng,07/26/2001,Khác,Tuyên Quang,090532925,10000,Công nhân
677,Mạch,Nguyễn Nam,11/22/2001,Nữ,Đắk Lắk,094530594,10000,Công nhân
678,Viên,Nguyễn Trang,02/11/1999,Nam,Đắk Lắk,090047484,10000,Công nhân
679,Chu,Nguyễn Thị,05/09/1999,Khác,Quảng Trị,090818158,15000,Nhân viên
680,Đàm,Nguyễn Thùy,03/11/1997,Khác,Hải Phòng,099949803,40000,Kỹ sư
681,Sơn,Văn,05/08/1985,Nữ,Gia Lai,099305636,9000,Nhân sự thử việc
682,Lâm,Quang Huy,02/15/2002,Nam,Hà Nam,090645248,9000,Nhân sự thử việc
683,Ngô,Dương Hùng,11/28/1993,Khác,Ninh Bình,097068109,10000,Công nhân
684,Thân,Anh,03/21/1995,Nam,Thái Nguyên,092731881,10000,Công nhân
685,Trịnh,Trần Ánh,12/09/1991,Nữ,Trà Vinh,096505401,9000,Nhân sự thử việc
686,Đậu,Nguyễn Lan,12/21/1996,Nam,Hải Phòng,096905544,8000,Thực tập sinh
687,Mạch,Trang,05/23/1988,Khác,Tiền Giang,095886654,9000,Người làm bán thời gian
688,Lại,Lê Kim,02/23/1990,Nữ,Nam Định,097446072,15000,Nhân viên
689,Trịnh,Quang Minh,01/14/1987,Khác,Bến Tre,096946756,10000,Lao động phổ thông
690,Bùi,Lê Thùy,07/17/1985,Khác,Hậu Giang,099764818,40000,Kỹ sư
691,Quan,Thanh,08/11/1996,Khác,Hậu Giang,093381035,10000,Lao động phổ thông
692,Diệp,Nguyễn Thùy,11/02/1988,Khác,Ninh Bình,099330163,40000,Kỹ sư
693,Cù,Thị,09/19/1994,Khác,Đồng Nai,097088160,10000,Công nhân
694,Bạch,Hoàng Nam,11/12/1993,Nữ,Lai Châu,093520419,50000,Chuyên gia nước ngoài
695,Kim,Văn Anh,10/07/1985,Khác,Tuyên Quang,095752660,40000,Kỹ sư
696,Quách,Văn Anh,06/19/1989,Khác,Khánh Hòa,096030027,50000,Chuyên gia nước ngoài
697,Văn,Trần Trang,10/09/1988,Khác,Bà Rịa - Vũng Tàu,099667269,60000,Cán bộ quản lý
698,Trịnh,Nguyễn Hồng,01/25/1992,Nam,Hà Tĩnh,090849606,9000,Nhân sự thử việc
699,Dương,Mai,09/14/2003,Khác,Hòa Bình,099435584,15000,Nhân viên
700,Lê,Nguyễn Kim,01/02/1996,Nam,Thừa Thiên Huế,098268454,8000,Thực tập sinh
701,Cù,Trần Trang,07/02/2000,Nữ,Ninh Bình,093466157,40000,Kỹ sư
702,Phùng,Minh Khánh,04/01/1994,Khác,Tây Ninh,092526795,15000,Nhân viên
703,Đàm,Thanh Hương,07/13/2000,Khác,An Giang,092286971,9000,Nhân sự thử việc
704,Diệp,Nguyễn Trang,07/17/2000,Nam,Đồng Tháp,099535604,9000,Người làm bán thời gian
705,Nữ,Nguyễn Hồng,01/18/1991,Nữ,Yên Bái,098208671,10000,Công nhân
706,Nguyễn,Nguyễn Mai,10/10/1988,Nam,Yên Bái,095379358,9000,Nhân sự thử việc
707,Liêu,Văn Anh,09/21/2000,Khác,Hậu Giang,097533848,9000,Nhân sự thử việc
708,Thiều,Dương Hùng,01/18/1990,Nam,Phú Yên,095008379,8000,Thực tập sinh
709,Tạ,Văn Đức,10/09/2002,Nữ,Lâm Đồng,098896006,10000,Lao động phổ thông
710,Hà,Nguyễn Phương,11/23/1985,Nam,Cà Mau.,092848464,50000,Chuyên gia nước ngoài
711,Lương,Thanh,12/11/2003,Nữ,Quảng Ninh,092020998,8000,Thực tập sinh
712,Viên,Nguyễn Anh,09/08/1989,Khác,Sóc Trăng,095648809,50000,Chuyên gia nước ngoài
713,Ôn,Nguyễn Thùy,12/30/1988,Khác,Hồ Chí Minh (TP. HCM),091253344,9000,Người làm bán thời gian
714,Hà,Lê Phương,07/07/1990,Nam,Tiền Giang,098160809,10000,Công nhân
715,Đường,Lê Mai,11/10/2004,Nam,Kon Tum,093881429,10000,Lao động phổ thông
716,Hứa,Trần Ánh,03/24/1988,Khác,Bến Tre,093885927,50000,Chuyên gia nước ngoài
717,Mã,Dương,11/13/1988,Nữ,Hà Nam,098509517,10000,Lao động phổ thông
718,Lý,Đức,01/17/1985,Khác,Tiền Giang,096977515,40000,Kỹ sư
719,Cao,Hoàng Nam,10/22/1994,Khác,Ninh Thuận,098210239,50000,Chuyên gia nước ngoài
720,Hứa,Thùy,02/04/1993,Khác,Hải Dương,098594362,60000,Cán bộ quản lý
721,Bùi,Thanh Thảo,03/02/1993,Khác,Bà Rịa - Vũng Tàu,095661517,9000,Người làm bán thời gian
722,Vũ,Quang Minh,02/13/1986,Khác,Kon Tum,096304514,40000,Kỹ sư
723,Hà,Lê Hồng,08/27/1994,Nữ,Hồ Chí Minh (TP. HCM),091664426,50000,Chuyên gia nước ngoài
724,Phù,Nguyễn Hùng,04/07/1996,Nam,Thái Nguyên,096644157,9000,Người làm bán thời gian
725,Chế,Nguyễn Ánh,12/08/1995,Nữ,Cần Thơ,099984514,40000,Kỹ sư
726,Tôn,Nam,04/03/1985,Khác,Đồng Tháp,097076336,10000,Lao động phổ thông
727,Tống,Hoàng,05/20/2002,Khác,Bình Định,097757299,9000,Nhân sự thử việc
728,Khổng,Lan,08/18/1997,Nam,Lai Châu,098303101,8000,Thực tập sinh
729,Bạch,Văn,03/09/1996,Nam,Phú Thọ,099348200,60000,Cán bộ quản lý
730,Chung,Trần Anh,09/03/1999,Khác,Phú Yên,094911208,50000,Chuyên gia nước ngoài
731,Đi,Hoàng An,11/23/1994,Nam,Bạc Liêu,095569760,60000,Cán bộ quản lý
732,Tôn,Nguyễn Anh,11/02/1995,Nữ,Phú Yên,096086023,15000,Nhân viên
733,Vương,Hoàng Nam,09/04/1992,Nam,Hà Nội,098521150,40000,Kỹ sư
734,Thạch,Phương,11/17/1989,Khác,Thái Nguyên,090692557,9000,Người làm bán thời gian
735,Tống,Hoàng An,04/09/1991,Nam,Lạng Sơn,096296247,15000,Nhân viên
736,Ngô,Lê Nam,01/03/2000,Khác,Quảng Bình,092862287,60000,Cán bộ quản lý
737,Đậu,Lê Thùy,02/06/1986,Nữ,Nam Định,091175187,10000,Công nhân
738,Bành,Tuấn,06/03/1997,Khác,Vĩnh Phúc,097345314,60000,Cán bộ quản lý
739,Thiều,Minh Khánh,01/08/1985,Nữ,Thái Bình,093245579,15000,Nhân viên
740,Lý,Nguyễn Kim,10/10/1989,Nữ,Bắc Ninh,094972042,9000,Nhân sự thử việc
741,La,Trần Thị,10/28/1999,Nữ,Đắk Nông,097685183,60000,Cán bộ quản lý
742,Lưu,Thanh Hương,07/05/2001,Nữ,Quảng Ngãi,093840228,50000,Chuyên gia nước ngoài
743,Đi,Trần Thị,12/07/2004,Khác,Hà Nội,096285407,8000,Thực tập sinh
744,Nghiêm,Thị,03/27/1998,Nữ,Yên Bái,095379358,9000,Nhân sự thử việc
745,Nguyễn,Lan,10/29/1985,Nam,Kiên Giang,096926061,60000,Cán bộ quản lý
746,Tôn,Lê Mai,05/19/1991,Khác,Nghệ An,093111961,9000,Người làm bán thời gian
747,Vòng,Dương,01/03/1990,Nam,Cần Thơ,092899720,40000,Kỹ sư
748,Hà,Tuấn,01/19/1992,Nữ,Tuyên Quang,098273377,15000,Nhân viên
749,Kim,Mai,02/14/1986,Nam,Quảng Ngãi,094942462,15000,Nhân viên
750,Ngô,Minh,10/12/1987,Khác,Thanh Hóa,096886420,10000,Công nhân
751,Văn,Hùng,03/15/1999,Khác,Nam Định,097250000,60000,Cán bộ quản lý
752,Thi,Hùng,12/10/2003,Khác,Bình Định,099174798,9000,Người làm bán thời gian
753,Triệu,Trần Lan,09/21/2002,Khác,Cần Thơ,090851202,50000,Chuyên gia nước ngoài
754,Châu,Minh Tuấn,02/15/1987,Nam,Bến Tre,095690628,40000,Kỹ sư
755,Dư,Lê Mai,10/31/2003,Khác,Cần Thơ,095383420,8000,Thực tập sinh
756,Võ,Nguyễn Đức,03/23/1992,Nữ,Thái Nguyên,099283121,10000,Công nhân
757,Doãn,Mai,04/07/1988,Khác,Thái Nguyên,091175187,10000,Công nhân
758,Nữ,Trần Thị,11/27/2004,Nam,Gia Lai,094025614,10000,Công nhân
759,Nữ,Trần Đức,02/04/2000,Khác,Thái Nguyên,094366864,40000,Kỹ sư
760,Hồ,Lê Nam,02/19/1996,Khác,Gia Lai,090947403,10000,Lao động phổ thông
761,Quan,Văn,11/16/1987,Khác,Bắc Kạn,096030027,9000,Nhân sự thử việc
762,Vòng,Lê Mai,09/25/1991,Nữ,Bình Dương,094897441,8000,Thực tập sinh
763,Tô,Nguyễn Đức,06/30/1995,Nam,Quảng Nam,094366864,40000,Kỹ sư
764,Tào,Văn,04/01/1995,Khác,Hưng Yên,093563227,10000,Lao động phổ thông
765,Ông,Thùy,03/09/2003,Nam,Bến Tre,095199991,9000,Người làm bán thời gian
766,Nghiêm,Nguyễn Kim,09/08/1992,Nam,Vĩnh Long,091043564,10000,Công nhân
767,Tăng,Trần Ánh,02/22/1986,Khác,Cao Bằng,094396050,15000,Nhân viên
768,Phù,Lê Kim,01/28/1999,Khác,Hải Phòng,095661517,8000,Thực tập sinh
769,Từ,Trang,09/29/1988,Khác,Hà Tĩnh,094020080,9000,Nhân sự thử việc
770,Quách,Dương Quốc,05/26/1986,Nữ,Bình Phước,092577089,10000,Lao động phổ thông
771,Hàng,Nguyễn Lan,03/09/1990,Nữ,Hải Dương,095118055,10000,Lao động phổ thông
772,Thi,Dương Quốc,03/04/1990,Nam,Yên Bái,091586655,8000,Thực tập sinh
773,Doãn,Dương Hùng,11/27/1996,Nữ,Quảng Trị,095315618,15000,Nhân viên
774,Chung,Quang,02/09/2004,Nữ,Ninh Thuận,090248707,9000,Người làm bán thời gian
775,Biện,Văn Anh,11/10/1993,Khác,Bạc Liêu,097102080,10000,Lao động phổ thông
776,Thiều,Trần Đức,05/24/1990,Khác,Khánh Hòa,092020998,40000,Kỹ sư
777,Mạc,Quang Minh,10/30/2000,Nữ,Khánh Hòa,099330163,8000,Thực tập sinh
778,Hoàng,Trần Trang,08/16/2000,Nữ,Đồng Nai,099243301,50000,Chuyên gia nước ngoài
779,Khưu,Mai,12/24/2003,Nữ,Cần Thơ,097409564,8000,Thực tập sinh
780,Văn,Lan,12/25/1990,Nam,Bình Dương,090170297,50000,Chuyên gia nước ngoài
781,Nhan,Thanh Thảo,06/08/1988,Nam,Phú Yên,096886656,40000,Kỹ sư
782,Lâm,Quang Minh,02/01/1985,Nam,Quảng Nam,092410822,9000,Nhân sự thử việc
783,Tào,Nguyễn Nam,06/21/2001,Nam,Hải Dương,096296247,10000,Công nhân
784,Diệp,Trần Lan,05/09/1997,Nữ,Khánh Hòa,096846375,8000,Thực tập sinh
785,Tạ,Nguyễn Kim,03/26/2002,Khác,Hậu Giang,093668339,8000,Thực tập sinh
786,Thiều,Nguyễn Thị,01/14/2002,Khác,Cà Mau.,095938993,8000,Thực tập sinh
787,Lã,Văn Đức,11/28/2002,Nữ,Hà Giang,099334468,9000,Nhân sự thử việc
788,Đoàn,Quang Minh,09/06/1985,Nam,Cao Bằng,092278884,15000,Nhân viên
789,Quách,Tuấn,05/05/1998,Nam,Bắc Kạn,098519607,10000,Công nhân
790,Vòng,Quang Minh,02/21/1998,Nam,Bình Định,090679417,15000,Nhân viên
791,Đồn,Minh Khánh,07/02/1998,Nam,Nghệ An,096108256,10000,Công nhân
792,Tạ,Phương,02/06/1988,Nam,Đắk Lắk,097448201,15000,Nhân viên
793,Thạch,Nam,07/15/1996,Khác,Ninh Thuận,095765318,50000,Chuyên gia nước ngoài
794,Kiều,Trần Đức,05/06/2003,Nam,Lạng Sơn,092624736,60000,Cán bộ quản lý
795,Quan,Kim,10/10/1989,Nam,Nam Định,096170316,40000,Kỹ sư
796,Đặng,Trần Thị,09/19/1985,Khác,Hải Phòng,094141076,10000,Lao động phổ thông
797,Nhan,Lê Thùy,01/10/1991,Nữ,Thái Bình,097409564,50000,Chuyên gia nước ngoài
798,Lương,Thanh,10/10/1992,Khác,Yên Bái,097997449,15000,Nhân viên
799,Nghiêm,Trần Ánh,11/23/1998,Nam,Gia Lai,094510177,40000,Kỹ sư
800,Quách,Nam,07/06/1994,Nữ,Hải Phòng,096000613,10000,Lao động phổ thông
801,Quan,Thùy,02/18/1989,Nam,Đồng Nai,093627949,8000,Thực tập sinh
802,Nhan,Trần Anh,06/27/1994,Khác,Hải Phòng,095656444,10000,Lao động phổ thông
803,Viên,Nguyễn Ánh,12/08/2003,Nam,Ninh Bình,091967822,60000,Cán bộ quản lý
804,Chung,Nguyễn Anh,11/07/1993,Nam,Cao Bằng,094406746,10000,Công nhân
805,Kiều,Trần Hùng,04/28/1993,Nữ,Hải Dương,094774891,10000,Công nhân
806,Đồn,Nguyễn Ánh,08/13/1993,Khác,Lào Cai,094044905,10000,Công nhân
807,Bùi,Dương Quốc,11/30/1998,Nam,Quảng Nam,090630941,9000,Người làm bán thời gian
808,Vi,Anh,05/24/2000,Nữ,Trà Vinh,096941991,9000,Nhân sự thử việc
809,Phan,Nguyễn Thùy,11/04/1990,Khác,Cao Bằng,097077246,60000,Cán bộ quản lý
810,Nghiêm,Kim,04/29/2002,Khác,Thái Bình,098681044,10000,Công nhân
811,Đồn,Thùy,07/28/2004,Nam,Bắc Kạn,093765443,9000,Người làm bán thời gian
812,Mạc,Dương Hùng,11/15/1993,Nữ,Bình Thuận,090011930,8000,Thực tập sinh
813,Mai,Thanh,10/08/1995,Nam,Quảng Nam,093485779,50000,Chuyên gia nước ngoài
814,Lâm,Trần Anh,02/03/2004,Nam,Kon Tum,092015661,40000,Kỹ sư
815,Thạch,Đức,03/28/1999,Khác,Cần Thơ,099435584,15000,Nhân viên
816,Bạch,Nguyễn Nam,10/03/1986,Nam,Vĩnh Phúc,094406746,50000,Chuyên gia nước ngoài
817,Nhan,Thùy,11/06/1987,Nam,Lai Châu,097102080,10000,Lao động phổ thông
818,Ninh,Minh Tuấn,01/12/1994,Khác,Thanh Hóa,090810281,10000,Lao động phổ thông
819,Đi,Minh,06/23/1996,Nữ,Bến Tre,090329518,60000,Cán bộ quản lý
820,Thạch,Lê Kim,02/22/1997,Nữ,Sóc Trăng,094695464,50000,Chuyên gia nước ngoài
821,Đồn,Minh Khánh,01/24/1991,Nam,Hậu Giang,091175187,8000,Thực tập sinh
822,Lữ,Thanh Thảo,02/02/2003,Nữ,Đồng Tháp,097004236,10000,Lao động phổ thông
823,Tôn,Hùng,06/18/2003,Nam,Hải Phòng,092289654,40000,Kỹ sư
824,Đường,Nguyễn Đức,09/29/2001,Nam,Hải Dương,097808349,40000,Kỹ sư
825,Đường,Trần Ánh,05/19/1987,Nam,Vĩnh Long,098498892,50000,Chuyên gia nước ngoài
826,Tiêu,Dương Hùng,03/13/1995,Nam,Hà Giang,091685672,8000,Thực tập sinh
827,Vòng,Nam,12/27/1999,Nam,Quảng Trị,090238343,40000,Kỹ sư
828,La,Phương,01/28/1997,Nữ,Phú Thọ,099683737,10000,Lao động phổ thông
829,Hồ,Đức,05/14/1986,Nam,Lạng Sơn,095545782,15000,Nhân viên
830,Bành,Nam,11/24/1991,Nữ,Hà Giang,093909374,40000,Kỹ sư
831,Phương,Trần Thị,12/13/1998,Nữ,Tuyên Quang,095973344,10000,Lao động phổ thông
832,Đoàn,Minh,02/13/1999,Khác,Khánh Hòa,090261172,10000,Lao động phổ thông
833,Đi,Hoàng An,01/14/2000,Nữ,Tiền Giang,098513733,60000,Cán bộ quản lý
834,Mã,Nguyễn Phương,11/29/1988,Khác,Thái Bình,099610092,50000,Chuyên gia nước ngoài
835,Từ,Trần Lan,02/27/1996,Khác,Kon Tum,097076336,10000,Lao động phổ thông
836,Diệp,Thanh Thảo,03/29/1993,Khác,Hòa Bình,096840105,8000,Thực tập sinh
837,Phương,Văn Anh,08/12/1996,Nam,Bắc Giang,097344939,9000,Người làm bán thời gian
838,Đàm,Hoàng,07/19/1985,Nữ,Bà Rịa - Vũng Tàu,090578781,40000,Kỹ sư
